ID,Y,filename,sex,age,age_years,corpus,group,child_TNW,child_TNS,examiner_TNW,freq_ttr,r_2_i_verbs,mor_words,num_pos_tags,n_dos,repetition,retracing,fillers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,word_errors,,,,,,,,,total_error
97,0,423.cha,male,55,4.583333333,ENNI,TD,629,88,31,0.218,0.576271186,586,41,2,13,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,25
98,0,425.cha,female,57,4.75,ENNI,TD,849,100,1,0.201,0.356321839,637,41,0,40,26,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,14
99,0,429.cha,female,58,4.833333333,ENNI,TD,388,55,0,0.284,0.388888889,377,40,2,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1
100,0,439.cha,female,59,4.916666667,ENNI,TD,481,80,14,0.341,0.704545455,452,42,7,8,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,10
101,0,441.cha,male,59,4.916666667,ENNI,TD,518,60,0,0.255,0.318181818,412,32,0,29,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,7
102,0,443.cha,male,60,5,ENNI,TD,410,58,0,0.282,0.162790698,404,35,1,6,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,6
103,0,445.cha,male,52,4.333333333,ENNI,TD,347,70,107,0.342,1.263157895,313,44,9,11,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,8
104,0,446.cha,male,53,4.416666667,ENNI,TD,400,59,10,0.325,0.314814815,357,38,1,6,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6
105,0,447.cha,male,50,4.166666667,ENNI,TD,443,62,0,0.256,0.326923077,383,29,0,11,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,5
106,0,448.cha,male,55,4.583333333,ENNI,TD,525,80,0,0.27,0.253968254,478,40,1,17,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,19
107,0,449.cha,female,52,4.333333333,ENNI,TD,292,58,0,0.35,0.163265306,286,33,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5
108,0,450.cha,male,52,4.333333333,ENNI,TD,310,59,0,0.292,0.275,267,33,0,14,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2
109,0,451.cha,male,55,4.583333333,ENNI,TD,746,87,0,0.259,0.469879518,663,43,1,13,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4
110,0,452.cha,female,48,4,ENNI,TD,261,61,0,0.163,0,246,19,0,8,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4
111,0,453.cha,male,53,4.416666667,ENNI,TD,522,61,0,0.239,0.348837209,447,35,1,22,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,6
